1,あなたの性格を一言で表すと,choice,all,1
2,コミュニケーションにおいて求めることは下記のうちどれですか？,choice,all,2
3,あなたの人生において重要なことは下記のうちどれか？,choice,all,3
4,仕事や遊びなどは、事前に細かく計画を立てることが多い,scale,thinker,4
5,自分で立てた計画が崩れてしまうと苛立を覚える事がある,scale,thinker,5
6,個人の意見や感想よりも、証拠や根拠のある事実が大切であると考えている,scale,thinker,6
7,無駄なコストや時間は使わないために、効率の良い生き方を求めている,scale,thinker,7
8,自分の頭で論理的に考えられない人に苛立ちを覚えることがある,scale,thinker,8
9,長年愛されている歴史のある物や、伝統的な物を好む,scale,pasi,9
10,自分に厳しくストイックであると思う,scale,pasi,10
11,人の不真面目な態度を見ると苛立ちを覚えることがある,scale,pasi,11
12,何事も一生懸命取り組むと結果は後からついてくると思う,scale,pasi,12
13,仕事や活動において使命感や、やりがいが重要である,scale,pasi,13
14,納得できないことがあっても、その怒りを人にぶつけるのは苦手だと思う,scale,hamo,14
15,よく相手の顔色をうかがってしまう,scale,hamo,15
16,相手が喜んでくれることを率先的にしてあげたい,scale,hamo,16
17,困っている人を見ると何とかしてあげたい,scale,hamo,17
18,落ち込んで自分を責めてしまうことが多い,scale,hamo,18
19,どちらかというと控えめで、物静かな性格である,scale,ima,19
20,単調な作業を一日中こなすことは苦でない,scale,ima,20
21,人から曖昧な指示を受けた時、混乱し動けなくなってしまう事がある,scale,ima,21
22,新たな刺激が多い人生よりも、平穏な人生が理想的である,scale,ima,22
23,休みの日はできれば一人で居たい,scale,ima,23
24,人生において重要なのは”楽しい”かどうかである,scale,revel,24
25,ルールや規則があまりない自由な環境を好む,scale,revel,25
26,自分は気分屋であると思う,scale,revel,26
27,トラブルがあった際、人のせいにしてしまうことがある,scale,revel,27
28,物事を好きか、嫌いかで判断することが多い,scale,revel,28
29,詳細な計画を立てるより、まずは行動を起こすことが多い,scale,pro,29
30,勝ち負けや、損得がはっきりした勝負事を好む,scale,pro,30
31,人から注目が集まる状況を好む,scale,pro,31
32,普通の人が怖がるような逆境やピンチな時にこそやる気になる,scale,pro,32
33,自分が目立たないことはあまりしたくない,scale,pro,33
